ExpeimentId	ModelId	SplitId	ContainerId	AllowDuplicates	ml-class	NumFactors	NumIter	PosSampler	UnobservedRatio	UnobservedNegSampler	NumObservedNeg	NumUnobservedNeg	TrainTime	EvaluationTime	PureTrainTime	PureEvaluationTime	TotalTime	PureTotalTime	TestedCases	CandidatesMode	NumCandidates	CutOff	Recall	MRR	NDCG	EvalMethod
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	0	791384	127938	1475	126935	1408	129413	128343	13442	TRAINING	100	5	0.1265	0.0592	0.0757	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	0	791384	127938	1475	126935	1408	129413	128343	13442	TRAINING	100	10	0.2297	0.0727	0.1087	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	0	791384	127938	1475	126935	1408	129413	128343	13442	TRAINING	100	20	0.3987	0.0841	0.1509	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	0	791384	127938	1475	126935	1408	129413	128343	13442	TRAINING	1000	5	0.0195	0.0093	0.0118	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	0	791384	127938	1475	126935	1408	129413	128343	13442	TRAINING	1000	10	0.0329	0.0111	0.0162	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.2	UniformFeedback	0	791384	127938	1475	126935	1408	129413	128343	13442	TRAINING	1000	20	0.0574	0.0128	0.0223	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	0	2269892	132254	907	131284	907	133161	132191	13442	TRAINING	100	5	0.1911	0.0954	0.1189	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	0	2269892	132254	907	131284	907	133161	132191	13442	TRAINING	100	10	0.3247	0.1128	0.1617	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	0	2269892	132254	907	131284	907	133161	132191	13442	TRAINING	100	20	0.5036	0.1250	0.2067	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	0	2269892	132254	907	131284	907	133161	132191	13442	TRAINING	1000	5	0.0299	0.0142	0.0180	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	0	2269892	132254	907	131284	907	133161	132191	13442	TRAINING	1000	10	0.0529	0.0171	0.0254	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	0	2269892	132254	907	131284	907	133161	132191	13442	TRAINING	1000	20	0.0898	0.0197	0.0347	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	0	1160923	136612	1501	135439	1500	138113	136939	13442	TRAINING	100	5	0.1448	0.0717	0.0896	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	0	1160923	136612	1501	135439	1500	138113	136939	13442	TRAINING	100	10	0.2468	0.0850	0.1223	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	0	1160923	136612	1501	135439	1500	138113	136939	13442	TRAINING	100	20	0.4080	0.0958	0.1624	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	0	1160923	136612	1501	135439	1500	138113	136939	13442	TRAINING	1000	5	0.0174	0.0086	0.0108	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	0	1160923	136612	1501	135439	1500	138113	136939	13442	TRAINING	1000	10	0.0324	0.0106	0.0156	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.3	UniformFeedback	0	1160923	136612	1501	135439	1500	138113	136939	13442	TRAINING	1000	20	0.0603	0.0124	0.0225	RBR-OPR
ml100k9	tbmlbprfm	ml100k-ml-0.75	ml100k-ml	False	TimeBasedMultiLevelBPRFM	10	50	DynamicLevel	0.1	UniformFeedback	0	420489	154493	1617	153378	1510	156110	154888	13442	TRAINING	100	5	0.1148	0.0537	0.0687	RBR-OPR
